transec_source_fire_namestr,transect_source_fire_ID,transect_start_time (UTC s from midnight),transect_end_time  (UTC s from midnight),transect_source_fire_type,transect_type,"transect_altitude (MSL, m)",transect_MCE,transect_BG_CO (ppb),transect_BG_CO2(ppm),transect_emis_time  (UTC s from midnight),transect_fuel,transect_ignition,transect_julian_date,transect_number,transect_plume_number,transect_source_fire_alt,transect_source_fire_lat,transect_source_fire_long,transect_s_distance (m),transect_windspeed (m/s),transect_smoke_age (s),transect_structures_boolean,transect_suppresion_boolean,transect_MCE_ODR,transect_mce_odr_chisq
Shady,1,93779.339,93842.339,1,1,4471.765625,0.911585293591977,68.4583333333333,410.199999999999,91003.7326660156,1,0,206,29,3,2185.4,44.5401,-115.0205,21717.5879654153,7.73895902507882,2806.2673,0,0,0.906281045616655,2.03978090366245
Shady,1,93974.339,94172.339,1,1,4163.79396984924,0.785784658754912,84.3416666666666,407.829166666666,88502.3334960937,1,0,206,30,3,2185.4,44.5401,-115.0205,41392.6645433377,7.43046881414012,5570.6665,0,0,0.880883378627932,5.58785180833363
Shady,1,94404.34,94641,1,1,4467.55882352941,,,,86501.8310546875,1,0,206,31,3,2185.4,44.5401,-115.0205,62033.9631040709,7.73474514028996,8020.1689,0,0,0.887048787043237,2.28844113858567
Shady,1,94654,94681,1,1,4466.57142857142,0.82339573664495,73.0291666666666,409.699166666666,85691.681640625,1,0,206,32,3,2185.4,44.5401,-115.0205,69412.923161926,7.73375608277842,8975.3184,0,0,0.911791523265925,0.273993066260087
Shady,1,94839.339,95001,1,3,4465.58282208588,-0.301419185079712,109.788333333333,406.925,,1,0,206,33,3,2185.4,44.5401,-115.0205,,7.73276581169938,,0,0,0.986580864199823,0.43699601213407
Shady,1,95021,95101.339,1,1,4466.92592592592,0.931355842302034,121.740833333333,406.443333333333,84630.5078125,1,0,206,34,3,2185.4,44.5401,-115.0205,80670.5891225482,7.73411117702764,10430.492,0,0,0.925220613939034,0.0565136798142305
Shady,1,95147.339,95236.339,1,1,5020.5,0.888761417659675,90.5604166666666,409.100833333333,87611.2407226562,1,0,206,35,3,2185.4,44.5401,-115.0205,76901.1950022644,10.1455988456787,7579.7593,0,0,0.900467371139589,1.24244742091369
Shady,1,95571,95588,1,1,5445.88888888888,0.901491550732772,72.0191666666666,409.6275,86058.5703125,1,0,206,36,3,2185.4,44.5401,-115.0205,112970.301291002,11.8660922650793,9520.4297,0,0,0.90180802431247,0.00680001196762274
Shady,1,95599,95612,1,1,5444.14285714285,0.876164927655868,70.3541666666666,410.001666666666,86040.0244140625,1,0,206,37,3,2185.4,44.5401,-115.0205,113473.826386503,11.8634726769318,9564.9756,0,0,0.895780351981189,0.00531111006764521
Shady,1,95651,95772,1,1,5320.98360655737,0.862081489550402,70.4341666666666,409.971666666666,85685.6494140625,1,0,206,38,3,2185.4,44.5401,-115.0205,117083.019722735,11.6786956739867,10025.351,0,0,0.855220544032989,0.41555758547402
Shady,1,95882,95906,1,3,5121.12,0.141802472568004,70.1691666666666,410.438333333333,,1,0,206,39,3,2185.4,44.5401,-115.0205,,10.731127549916,,0,0,0.868360698782742,0.0377324758582287
Shady,1,95918,96208,1,2,4916.1443298969,0.639229587441296,77.3875,409.3125,79950.8955078125,1,0,206,40,3,2185.4,44.5401,-115.0205,153682.593163198,9.53833150026743,16112.104,0,0,0.939831740567741,2.0360586452908
Shady,1,96227,96518,1,2,5080.55821917808,0.784712577326739,77.6791666666666,409.400833333333,84264.2353515625,1,0,206,41,3,2185.4,44.5401,-115.0205,127072.084200893,10.4950901123666,12107.765,0,0,0.930531712646869,0.974527381815536
Shady,1,96528,96640,1,2,5104.94690265486,0.759193228085664,69.8258333333333,410.460833333333,87523.4365234375,1,0,206,42,3,2185.4,44.5401,-115.0205,96377.3258615271,10.6370129332195,9060.5635,0,0,0.886752430560617,0.708088169956729
Shady,1,96693,96819,1,2,4971.80314960629,0.863442284383652,69.3208333333333,410.414166666666,89372.5532226562,1,0,206,43,3,2185.4,44.5401,-115.0205,72817.1892098946,9.86222174657849,7383.4468,0,0,0.895413861504628,0.50969627315695
Shady,1,96913,97094,1,2,4380.7967032967,0.868099032812906,71.6891666666666,410.341666666666,91988.5693359375,1,0,206,44,3,2185.4,44.5401,-115.0205,38349.5467062579,7.64783693193885,5014.4307,0,0,0.877262749026455,15.8084327068928
Shady,1,97108,97153,1,2,4161.82608695652,0.892046945427755,73.0391666666666,410.3275,94261.1357421875,1,0,206,45,3,2185.4,44.5401,-115.0205,21311.3518936231,7.42849761777017,2868.8643,0,0,0.889346564089561,0.181794686858767
Shady,1,97171,97202,1,2,4165.53125,0.874833447618356,70.8499999999999,410.255833333333,95245.2208251953,1,0,206,46,3,2185.4,44.5401,-115.0205,14424.2765628879,7.43220901948435,1940.7792,0,0,0.86717847619945,0.0453409693012396
